,,c_score,c_score,c_score,c_score,o_score,o_score,o_score,o_score,p_score,p_score,p_score,p_score
model,,Prompting (gpt4o),Prompting (llama3.1-8b),BiTextion (llama3.1-8b),BiTextion (gpt4o),Prompting (gpt4o),Prompting (llama3.1-8b),BiTextion (llama3.1-8b),BiTextion (gpt4o),Prompting (gpt4o),Prompting (llama3.1-8b),BiTextion (llama3.1-8b),BiTextion (gpt4o)
,question_idx,,,,,,,,,,,,
30-50%,0,1.0,1.0,2.0,1.0,3.0,2.0,3.0,3.0,1.0,2.0,2.0,1.0
30-50%,1,2.0,1.0,2.0,0.0,3.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0
30-50%,2,3.0,2.0,2.0,0.0,1.0,2.0,2.0,1.0,2.0,2.0,1.0,2.0
30-50%,3,2.0,2.0,2.0,1.0,2.0,2.0,2.0,1.0,2.0,1.0,2.0,0.0
20-30%,0,1.33,1.33,1.33,1.33,3.67,3.33,3.67,4.0,2.33,1.67,2.33,2.0
20-30%,1,1.33,1.0,1.0,1.33,3.33,3.33,2.33,3.33,1.67,1.33,1.67,1.33
20-30%,2,1.0,1.33,0.67,1.0,2.67,3.33,4.0,3.0,1.33,1.67,0.67,1.0
20-30%,3,1.0,1.33,1.33,0.67,3.0,3.0,3.67,3.33,2.0,1.0,1.33,1.0
00-20%,0,1.38,1.25,1.19,1.31,3.69,3.81,3.38,3.81,1.44,1.19,1.25,1.19
00-20%,1,1.38,0.88,1.0,0.62,3.44,3.06,3.5,3.5,1.06,1.0,0.81,0.75
00-20%,2,1.06,0.62,1.62,0.75,3.94,3.56,3.69,3.5,0.69,1.0,1.19,0.62
00-20%,3,0.94,0.56,0.94,0.62,3.69,3.5,3.75,3.5,1.0,1.0,0.81,0.62
