,,c_score,c_score,c_score,c_score,o_score,o_score,o_score,o_score,p_score,p_score,p_score,p_score
model,,Prompting (gpt4o),Prompting (llama3.1-8b),BiTextion (llama3.1-8b),BiTextion (gpt4o),Prompting (gpt4o),Prompting (llama3.1-8b),BiTextion (llama3.1-8b),BiTextion (gpt4o),Prompting (gpt4o),Prompting (llama3.1-8b),BiTextion (llama3.1-8b),BiTextion (gpt4o)
,question_idx,,,,,,,,,,,,
30-50%,0,1.57,2.14,2.0,2.0,2.0,2.29,2.29,2.14,1.14,1.43,2.29,1.71
30-50%,1,1.57,1.57,2.57,2.29,2.43,2.43,2.43,2.14,1.43,2.14,1.71,2.14
30-50%,2,1.86,1.43,1.86,2.0,2.43,2.29,2.29,2.29,1.71,2.43,2.0,2.0
30-50%,3,1.86,1.57,1.86,1.43,2.57,2.71,3.29,2.43,1.57,2.0,2.29,2.0
20-30%,0,1.39,1.68,1.54,1.46,2.93,2.79,2.96,3.21,1.89,1.54,1.64,1.5
20-30%,1,1.21,1.14,1.57,1.43,2.96,2.89,2.54,3.0,1.57,1.68,1.39,1.71
20-30%,2,1.29,1.14,1.39,1.32,3.11,2.79,3.18,3.0,1.71,1.61,1.39,1.43
20-30%,3,1.04,1.04,1.07,0.89,3.07,2.79,3.32,2.64,1.57,1.68,1.5,1.57
00-20%,0,1.09,1.2,1.14,1.06,2.29,2.26,2.14,2.06,1.31,1.11,1.2,1.14
00-20%,1,0.77,0.89,1.26,0.94,2.6,2.06,2.09,2.17,1.09,1.37,1.0,1.23
00-20%,2,0.89,0.69,0.97,0.74,2.46,2.0,2.31,2.26,1.23,1.14,1.23,1.06
00-20%,3,1.06,0.83,0.89,0.89,2.26,1.97,2.29,2.2,1.29,1.11,1.17,1.06
