,,c_score,c_score,c_score,c_score,o_score,o_score,o_score,o_score,p_score,p_score,p_score,p_score
model,,Prompting (gpt4o),Prompting (llama3.1-8b),BiTextion (llama3.1-8b),BiTextion (gpt4o),Prompting (gpt4o),Prompting (llama3.1-8b),BiTextion (llama3.1-8b),BiTextion (gpt4o),Prompting (gpt4o),Prompting (llama3.1-8b),BiTextion (llama3.1-8b),BiTextion (gpt4o)
,question_idx,,,,,,,,,,,,
50-100%,0,1.22,1.67,1.56,1.22,4.0,3.78,4.22,4.11,1.56,1.56,1.67,2.0
50-100%,1,1.0,1.0,1.11,1.11,4.0,3.67,3.89,3.33,1.44,1.22,1.33,1.56
50-100%,2,0.89,0.89,1.0,2.0,4.0,4.0,4.22,3.89,1.56,1.78,1.78,1.22
50-100%,3,0.78,1.0,1.22,2.22,3.44,3.56,4.22,3.67,1.44,1.44,1.33,1.33
30-50%,0,1.21,1.29,1.21,1.57,3.29,3.29,3.5,3.5,1.07,1.07,1.36,1.29
30-50%,1,0.86,1.0,1.07,1.36,3.21,3.21,3.21,3.14,1.5,1.07,0.86,1.07
30-50%,2,1.0,0.57,1.36,0.79,3.14,3.36,3.43,3.29,1.07,1.0,1.07,0.71
30-50%,3,0.71,0.71,0.86,0.71,3.29,3.21,3.36,3.29,1.29,1.14,0.86,0.86
20-30%,0,1.16,1.21,1.26,1.26,3.11,2.95,3.16,3.37,1.21,1.26,0.74,1.21
20-30%,1,0.89,1.26,1.0,1.16,2.95,3.0,3.05,2.89,1.05,1.11,1.16,1.05
20-30%,2,1.0,1.16,1.32,0.74,2.74,3.16,3.05,2.84,1.05,0.84,1.0,1.05
20-30%,3,1.05,0.89,1.21,0.74,2.74,2.79,3.26,2.95,1.16,0.79,0.74,0.79
00-20%,0,0.79,0.74,0.84,0.68,3.26,3.05,3.26,3.16,1.21,0.95,1.05,0.95
00-20%,1,0.89,0.74,0.79,0.42,3.05,3.37,3.05,2.84,0.79,0.89,0.84,0.84
00-20%,2,0.84,0.63,0.68,0.32,2.95,3.16,3.05,2.74,1.16,0.84,0.79,0.47
00-20%,3,0.58,0.58,0.68,0.58,3.37,2.89,3.21,2.89,0.79,0.68,0.63,0.68
